,Device,,,,,,,,,,,,,,,
,"RTX 2000 Ada
",,,,,,,,David's RTX4090,,,,,,,
,Cuda (ms),,,,CPU (ms),,,,Cuda (ms),,,,CPU (ms),,,
Trial,3300x2200,4096x3000,8192x6000,16384x12000,3300x2200,4096x3000,8192x6000,16384x12000,3300x2200,4096x3000,8192x6000,16384x12000,3300x2200,4096x3000,8192x6000,16384x12000
1,9.838,12.761,51.899,219.524,9.781,12.082,17.014,58.816,4.576,7.318,28.5,110.628,6.175,9.934,20.041,77.278
2,9.208,13.16,55.709,213.811,7.705,10.852,16.81,57.891,4.583,7.346,28.598,109.548,6.027,9.938,19.329,77.253
3,9.849,12.763,48.105,189.864,7.708,10.879,17.025,59.809,4.586,7.905,28.47,110.167,6.001,9.804,19.393,77.412
4,9.527,13.316,52.256,214.402,7.849,11.354,17.634,65.781,4.699,7.349,28.733,110.323,5.967,9.857,19.792,77.524
5,9.2,13.404,52.22,205.363,7.647,10.912,16.473,59.866,4.567,7.294,86.153,109.501,6.053,9.89,19.932,77.383
AVG,9.5244,13.0808,52.0378,208.5928,8.138,11.2158,16.9912,60.4326,4.6022,7.4424,40.0908,110.0334,6.0446,9.8846,19.6974,77.37